Team1,Team2,Date,Year,Time,Place,Toss,TossDecision,Result
ROYAL CHALLENGERS BENGALURU,KOLKATA KNIGHT RIDERS,"Apr 18, Fri",2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Kolkata Knight Riders won by 140 runs
PUNJAB KINGS,CHENNAI SUPER KINGS,"Apr 19, Sat",2008,11:30 AM GMT / 05:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Chennai Super Kings won by 33 runs
DELHI CAPITALS,RAJASTHAN ROYALS,"Apr 20, Sun",2008,03:00 PM GMT / 08:30 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 9 wickets (with 29 balls remaining)
KOLKATA KNIGHT RIDERS,DECCAN CHARGERS,"Apr 21, Mon",2008,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 5 wickets (with 6 balls remaining)
MUMBAI INDIANS,ROYAL CHALLENGERS BENGALURU,"Apr 22, Tue",2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Unknown,Unknown,Royal Challengers Bangalore won by 5 wickets (with 2 balls remaining)
RAJASTHAN ROYALS,PUNJAB KINGS,"Apr 23, Wed",2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Rajasthan Royals won by 6 wickets (with 11 balls remaining)
DECCAN CHARGERS,DELHI CAPITALS,"Apr 24, Thu",2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Unknown,Unknown,Delhi Daredevils won by 9 wickets (with 42 balls remaining)
CHENNAI SUPER KINGS,MUMBAI INDIANS,"Apr 25, Fri",2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 6 runs
DECCAN CHARGERS,RAJASTHAN ROYALS,"Apr 26, Sat",2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Unknown,Unknown,Rajasthan Royals won by 3 wickets (with 1 ball remaining)
PUNJAB KINGS,MUMBAI INDIANS,"Apr 27, Sun",2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kings XI Punjab won by 66 runs
