Team1,Team2,Time,Place,Result,winning_team,win_margin,win_type,winning_team,win_margin,win_type
RCB,KKR,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders won by 140 runs,KKR,140.0,runs,KKR,140.0,runs
PBKS,CSK,11:30 AM GMT / 05:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Chennai Super Kings won by 33 runs,CSK,33.0,runs,CSK,33.0,runs
DC,RR,03:00 PM GMT / 08:30 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Daredevils won by 9 wickets (with 29 balls remaining),DC,9.0,wickets,DD,9.0,wickets
KKR,DCG,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Kolkata Knight Riders won by 5 wickets (with 6 balls remaining),KKR,5.0,wickets,KKR,5.0,wickets
MI,RCB,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore won by 5 wickets (with 2 balls remaining),RCB,5.0,wickets,RCB,5.0,wickets
RR,PBKS,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals won by 6 wickets (with 11 balls remaining),RR,6.0,wickets,RR,6.0,wickets
DCG,DC,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Daredevils won by 9 wickets (with 42 balls remaining),DC,9.0,wickets,DD,9.0,wickets
CSK,MI,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings won by 6 runs,CSK,6.0,runs,CSK,6.0,runs
DCG,RR,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals won by 3 wickets (with 1 ball remaining),RR,3.0,wickets,RR,3.0,wickets
PBKS,MI,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab won by 66 runs,PBKS,66.0,runs,KXIP,66.0,runs
CSK,KKR,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Chennai Super Kings won by 9 wickets (with 18 balls remaining),CSK,9.0,wickets,CSK,9.0,wickets
RCB,RR,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Rajasthan Royals won by 7 wickets (with 17 balls remaining),RR,7.0,wickets,RR,7.0,wickets
PBKS,DC,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab won by 4 wickets (with 3 balls remaining),PBKS,4.0,wickets,KXIP,4.0,wickets
MI,DCG,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Deccan Chargers won by 10 wickets (with 48 balls remaining),DCG,10.0,wickets,DCG,10.0,wickets
RCB,CSK,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings won by 13 runs,CSK,13.0,runs,CSK,13.0,runs
KKR,MI,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Mumbai Indians won by 7 wickets (with 8 balls remaining),MI,7.0,wickets,MI,7.0,wickets
DC,RCB,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Delhi Daredevils won by 10 runs,DC,10.0,runs,DD,10.0,runs
RR,KKR,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals won by 45 runs,RR,45.0,runs,RR,45.0,runs
DCG,PBKS,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab won by 7 wickets (with 7 balls remaining),PBKS,7.0,wickets,KXIP,7.0,wickets
CSK,DC,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Delhi Daredevils won by 8 wickets (with 6 balls remaining),DC,8.0,wickets,DD,8.0,wickets
RCB,DCG,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore won by 3 runs,RCB,3.0,runs,RCB,3.0,runs
PBKS,KKR,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab won by 9 runs,PBKS,9.0,runs,KXIP,9.0,runs
MI,DC,10:30 AM GMT / 04:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai Indians won by 29 runs,MI,29.0,runs,MI,29.0,runs
RR,CSK,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals won by 8 wickets (with 34 balls remaining),RR,8.0,wickets,RR,8.0,wickets
RCB,PBKS,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab won by 6 wickets (with 10 balls remaining),PBKS,6.0,wickets,KXIP,6.0,wickets
CSK,DCG,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Deccan Chargers won by 7 wickets (with 12 balls remaining),DCG,7.0,wickets,DCG,7.0,wickets
MI,RR,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Mumbai Indians won by 7 wickets (with 29 balls remaining),MI,7.0,wickets,MI,7.0,wickets
DC,CSK,10:30 AM GMT / 04:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Chennai Super Kings won by 4 wickets (with 0 balls remaining),CSK,4.0,wickets,CSK,4.0,wickets
