No,Player,Matches,Overs,Balls,Wickets,Average,Runs,4-fers,5-fers
1,Harshal Patel,14,49.0,294,24,19.88,477,-,-
2,Varun Chakaravarthy,14,50.0,300,21,19.14,402,-,-
3,Jasprit Bumrah,13,51.5,311,20,16.80,336,-,1
4,T Natarajan,14,51.2,308,19,24.47,465,1,-
5,Harshit Rana,12,42.1,253,19,20.16,383,-,-
6,Avesh Khan,15,54.5,329,19,27.68,526,-,-
7,Arshdeep Singh,14,50.2,302,19,26.58,505,1,-
8,Andre Russell,14,29.2,176,19,15.53,295,-,-
9,Pat Cummins,16,61.0,366,18,31.44,566,-,-
10,Yuzvendra Chahal,15,58.0,348,18,30.33,546,-,-
11,Sunil Narine,14,55.0,330,17,21.65,368,-,-
12,Tushar Deshpande,13,48.0,288,17,24.94,424,1,-
13,Khaleel Ahmed,14,50.0,300,17,28.18,479,-,-
14,Mukesh Kumar,10,35.3,213,17,21.65,368,-,-
15,Mitchell Starc,13,41.5,251,17,26.12,444,1,-
