POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
1,Shaun Marsh PBKS,616,11,11,2,115,68.44,441,139.68,1,5,59,26,2008
2,Gautam Gambhir DC,534,14,14,1,86,41.07,379,140.89,0,5,68,8,2008
3,Sanath Jayasuriya MI,518,14,14,2,114*,43.16,309,167.63,1,2,58,31,2008
4,Shane Watson RR,472,15,15,5,76*,47.20,311,151.76,0,4,47,19,2008
5,Graeme Smith RR,441,11,11,2,91,49.00,362,121.82,0,3,54,8,2008
6,Adam Gilchrist PBKS,436,14,14,1,109*,33.53,318,137.10,1,3,51,19,2008
7,Yusuf Pathan RR,435,16,15,1,68,31.07,243,179.01,0,4,43,25,2008
8,Suresh Raina CSK,421,16,14,3,55*,38.27,296,142.22,0,3,35,18,2008
9,MS Dhoni CSK,414,16,14,4,65,41.40,310,133.54,0,2,38,15,2008
10,Virender Sehwag DC,406,14,14,2,94*,33.83,220,184.54,0,3,46,21,2008
11,Rohit Sharma DEC,404,13,12,1,76*,36.72,273,147.98,0,4,38,19,2008
12,Rahul Dravid RCB,371,14,14,1,75*,28.53,298,124.49,0,2,35,11,2008
13,Sourav Ganguly KKR,349,13,13,1,91,29.08,307,113.68,0,3,33,15,2008
14,Shikhar Dhawan DC,340,14,14,5,68*,37.77,295,115.25,0,4,35,8,2008
15,Kumar Sangakkara PBKS,320,10,9,0,94,35.55,198,161.61,0,4,41,8,2008
16,Robin Uthappa MI,320,14,14,5,48,35.55,279,114.69,0,0,34,9,2008
17,David Hussey KKR,319,13,13,2,71,29.00,259,123.16,0,2,19,17,2008
18,Swapnil Asnodkar RR,311,9,9,0,60,34.55,233,133.47,0,2,43,6,2008
19,Parthiv Patel CSK,302,13,13,2,54,27.45,297,101.68,0,2,42,3,2008
20,Yuvraj Singh PBKS,299,15,14,1,57,23.00,184,162.50,0,1,24,19,2008
1,Matthew Hayden CSK,572,12,12,1,89,52.00,395,144.81,0,5,60,22,2009
2,Adam Gilchrist DEC,495,16,16,0,85,30.93,325,152.30,0,3,54,29,2009
