POS,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s,6s,year
1,David Warner SRH,641,14,14,3,126,58.27,452,141.81,1,4,63,26,2017
2,Gautam Gambhir KKR,498,16,16,4,76*,41.50,389,128.02,0,4,61,7,2017
3,Shikhar Dhawan SRH,479,14,14,1,77,36.84,376,127.39,0,3,53,9,2017
4,Steve Smith RPS,472,15,15,3,84*,39.33,387,121.96,0,3,38,12,2017
5,Suresh Raina GL,442,14,14,3,84,40.18,307,143.97,0,3,42,13,2017
6,Hashim Amla PBKS,420,10,10,3,104*,60.00,288,145.83,2,2,40,17,2017
7,Manish Pandey KKR,396,14,13,5,81*,49.50,308,128.57,0,2,28,12,2017
8,Parthiv Patel MI,395,16,16,0,70,24.68,293,134.81,0,2,49,8,2017
9,Rahul Tripathi RPS,391,14,14,0,93,27.92,267,146.44,0,2,43,17,2017
10,Robin Uthappa KKR,388,14,13,0,87,29.84,235,165.10,0,5,36,21,2017
11,Sanju Samson DC,386,14,14,0,102,27.57,273,141.39,1,2,32,19,2017
12,Kieron Pollard MI,385,17,16,3,70,29.61,276,139.49,0,3,26,22,2017
13,Ajinkya Rahane RPS,382,16,16,1,60,25.46,323,118.26,0,2,35,9,2017
14,Rishabh Pant DC,366,14,14,0,97,26.14,221,165.61,0,2,28,24,2017
15,Dinesh Karthik GL,361,14,13,3,65,36.10,259,139.38,0,2,30,11,2017
16,Shreyas Iyer DC,338,12,12,2,96,33.80,243,139.09,0,2,36,10,2017
17,Nitish Rana MI,333,13,12,1,62*,30.27,264,126.13,0,3,24,17,2017
18,Rohit Sharma MI,333,17,16,2,67,23.78,273,121.97,0,3,31,9,2017
19,Manoj Tiwary RPS,324,15,13,3,60,32.40,236,137.28,0,2,31,11,2017
20,Brendon McCullum GL,319,11,11,0,72,29.00,217,147.00,0,2,29,18,2017
1,Jos Buttler RR,863,17,17,2,116,57.53,579,149.05,4,4,83,45,2022
2,K L Rahul LSG,616,15,15,3,103*,51.33,455,135.38,2,4,45,30,2022
3,Quinton De Kock LSG,508,15,15,1,140*,36.29,341,148.97,1,3,47,23,2022
4,Hardik Pandya GT,487,15,15,4,87*,44.27,371,131.26,0,4,49,12,2022
5,Shubman Gill GT,483,16,16,2,96,34.50,365,132.32,0,4,51,11,2022
6,David Miller GT,481,16,16,9,94*,68.71,337,142.72,0,2,32,23,2022
7,Faf Du Plessis RCB,468,16,16,1,96,31.20,367,127.52,0,3,49,13,2022
8,Shikhar Dhawan PBKS,460,14,14,2,88*,38.33,375,122.66,0,3,47,12,2022
9,Sanju Samson RR,458,17,17,1,55,28.63,312,146.79,0,2,43,26,2022
10,Deepak Hooda LSG,451,15,14,0,59,32.21,330,136.66,0,4,36,18,2022
11,Liam Livingstone PBKS,437,14,14,2,70,36.42,240,182.08,0,4,29,34,2022
12,David Warner DC,432,12,12,3,92*,48.00,287,150.52,0,5,52,15,2022
13,Abhishek Sharma SRH,426,14,14,0,75,30.43,320,133.12,0,2,47,13,2022
14,Ishan Kishan MI,418,14,14,1,81*,32.15,348,120.11,0,3,45,11,2022
15,Rahul Tripathi SRH,413,14,14,3,76,37.55,261,158.23,0,3,40,20,2022
16,Shreyas Iyer KKR,401,14,14,1,85,30.85,298,134.56,0,3,41,11,2022
17,Tilak Varma MI,397,14,14,3,61,36.09,303,131.02,0,2,29,16,2022
18,Aiden Markram SRH,381,14,12,4,68*,47.63,274,139.05,0,3,25,19,2022
19,Devdutt Padikkal RR,376,17,17,0,54,22.12,306,122.87,0,1,40,14,2022
20,Ruturaj  Gaikwad CSK,368,14,14,0,99,26.29,291,126.46,0,3,33,14,2022
