Team1,Team2,Date,Year,Time,Place,Toss,TossDecision,Result
RCB,KKR,"Apr 18, Fri",2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Kolkata Knight Riders won by 140 runs
PBKS,CSK,"Apr 19, Sat",2008,11:30 AM GMT / 05:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Chennai Super Kings won by 33 runs
DC,RR,"Apr 20, Sun",2008,03:00 PM GMT / 08:30 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 9 wickets (with 29 balls remaining)
KKR,DCG,"Apr 21, Mon",2008,10:30 AM GMT / 04:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Kolkata Knight Riders won by 5 wickets (with 6 balls remaining)
MI,RCB,"Apr 22, Tue",2008,02:30 PM GMT / 08:00 PM LOCAL,"Wankhede Stadium, Mumbai",Unknown,Unknown,Royal Challengers Bangalore won by 5 wickets (with 2 balls remaining)
RR,PBKS,"Apr 23, Wed",2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Rajasthan Royals won by 6 wickets (with 11 balls remaining)
DCG,DC,"Apr 24, Thu",2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Unknown,Unknown,Delhi Daredevils won by 9 wickets (with 42 balls remaining)
CSK,MI,"Apr 25, Fri",2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 6 runs
DCG,RR,"Apr 26, Sat",2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Unknown,Unknown,Rajasthan Royals won by 3 wickets (with 1 ball remaining)
PBKS,MI,"Apr 27, Sun",2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kings XI Punjab won by 66 runs
CSK,KKR,"Apr 28, Mon",2008,10:30 AM GMT / 04:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Chennai Super Kings won by 9 wickets (with 18 balls remaining)
RCB,RR,"Apr 29, Tue",2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Rajasthan Royals won by 7 wickets (with 17 balls remaining)
PBKS,DC,"Apr 30, Wed",2008,10:30 AM GMT / 04:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kings XI Punjab won by 4 wickets (with 3 balls remaining)
MI,DCG,"May 01, Thu",2008,02:30 PM GMT / 08:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Deccan Chargers won by 10 wickets (with 48 balls remaining)
RCB,CSK,"May 02, Fri",2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Chennai Super Kings won by 13 runs
KKR,MI,"May 03, Sat",2008,02:30 PM GMT / 08:00 PM LOCAL,"Eden Gardens, Kolkata",Unknown,Unknown,Mumbai Indians won by 7 wickets (with 8 balls remaining)
DC,RCB,"May 04, Sun",2008,02:30 PM GMT / 08:00 PM LOCAL,"Arun Jaitley Stadium, Delhi",Unknown,Unknown,Delhi Daredevils won by 10 runs
RR,KKR,"May 05, Mon",2008,10:30 AM GMT / 04:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Rajasthan Royals won by 45 runs
DCG,PBKS,"May 06, Tue",2008,02:30 PM GMT / 08:00 PM LOCAL,"Rajiv Gandhi International Stadium, Hyderabad",Unknown,Unknown,Kings XI Punjab won by 7 wickets (with 7 balls remaining)
CSK,DC,"May 07, Wed",2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Delhi Daredevils won by 8 wickets (with 6 balls remaining)
RCB,DCG,"May 08, Thu",2008,10:30 AM GMT / 04:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Royal Challengers Bangalore won by 3 runs
PBKS,KKR,"May 09, Fri",2008,02:30 PM GMT / 08:00 PM LOCAL,"Punjab Cricket Association IS Bindra Stadium, Mohali",Unknown,Unknown,Kings XI Punjab won by 9 runs
MI,DC,"May 10, Sat",2008,10:30 AM GMT / 04:00 PM LOCAL,"Dr DY Patil Sports Academy, Navi Mumbai",Unknown,Unknown,Mumbai Indians won by 29 runs
RR,CSK,"May 11, Sun",2008,02:30 PM GMT / 08:00 PM LOCAL,"Sawai Mansingh Stadium, Jaipur",Unknown,Unknown,Rajasthan Royals won by 8 wickets (with 34 balls remaining)
RCB,PBKS,"May 12, Mon",2008,02:30 PM GMT / 08:00 PM LOCAL,"M.Chinnaswamy Stadium, Bengaluru",Unknown,Unknown,Kings XI Punjab won by 6 wickets (with 10 balls remaining)
CSK,DCG,"May 13, Tue",2008,02:30 PM GMT / 08:00 PM LOCAL,"MA Chidambaram Stadium, Chennai",Unknown,Unknown,Deccan Chargers won by 7 wickets (with 12 balls remaining)
